entity_id,entity_type,raw_location,platform,cleaned_location,matched_city,country,lat,lon,confidence
rwitten,github_user,,GitHub,,,,,,none
pkunlp-icler,github_organization,,GitHub,,,,,,none
chrisliu298,github_user,"Cupertino, California",GitHub,"Cupertino, California",Cupertino,United States,37.323,-122.0322,high
aiplanethub,github_organization,,GitHub,,,,,,none
WindyLab,github_user,"Hangzhou, China",GitHub,"Hangzhou, China",Hangzhou,China,30.2741,120.1551,high
laigeoffer,github_organization,China,GitHub,China,,,,,low
lukaszliniewicz,github_user,,GitHub,,,,,,none
llumnix-project,github_organization,,GitHub,,,,,,none
emarco177,github_user,,GitHub,,,,,,none
GURPREETKAURJETHRA,github_user,"Ahmedabad, Gujarat",GitHub,"Ahmedabad, Gujarat",Ahmedabad,India,23.0215374,72.5800568,medium
openbestof,github_organization,,GitHub,,,,,,none
Wang-ML-Lab,github_organization,United States of America,GitHub,United States of America,,,,,low
Tencent,github_organization,"Shenzhen, China",GitHub,"Shenzhen, China",Shenzhen,China,22.5431,114.0579,high
liudaizong,github_user,"Wuhan, China",GitHub,"Wuhan, China",Wuhan,China,30.5928,114.3055,high
zjhellofss,github_user,浙江杭州,GitHub,浙江杭州,Hangzhou,China,30.2489634,120.2052342,medium
PAIR-code,github_organization,,GitHub,,,,,,none
ethz-spylab,github_organization,Switzerland,GitHub,Switzerland,,,,,low
LLM-Testing,github_user,,GitHub,,,,,,none
Holmeswww,github_user,"CMU, Pittsburgh",GitHub,"CMU, Pittsburgh",Pittsburgh,United States,40.4406,-79.9959,high
xiyuanzh,github_user,,GitHub,,,,,,none
jihoo-kim,github_user,"Seoul, Korea",GitHub,"Seoul, Korea",Seoul,South Korea,37.5665,126.978,high
TencentARC,github_organization,,GitHub,,,,,,none
Realiserad,github_user,,GitHub,,,,,,none
dzhng,github_user,,GitHub,,,,,,none
Leeroo-AI,github_organization,United Kingdom,GitHub,United Kingdom,,,,,low
jasonjmcghee,github_user,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
video-db,github_organization,United States of America,GitHub,United States of America,,,,,low
jiahe7ay,github_user,,GitHub,,,,,,none
hustvl,github_organization,"Wuhan, China",GitHub,"Wuhan, China",Wuhan,China,30.5928,114.3055,high
Siddhant-Goswami,github_user,India,GitHub,India,,,,,low
bigcode-project,github_organization,,GitHub,,,,,,none
gpt-open,github_organization,,GitHub,,,,,,none
alvin-r,github_user,,GitHub,,,,,,none
withinmiaov,github_user,,GitHub,,,,,,none
RobotecAI,github_organization,Poland,GitHub,Poland,,,,,low
nuster1128,github_user,Beijing,GitHub,Beijing,Beijing,China,39.9042,116.4074,high
kkkunny,github_user,,GitHub,,,,,,none
quchangle1,github_user,BeiJing,GitHub,BeiJing,Beijing,China,39.9042,116.4074,high
Wilson-ZheLin,github_user,United States,GitHub,United States,,,,,low
cpldcpu,github_user,,GitHub,,,,,,none
rui-ye,github_user,,GitHub,,,,,,none
Upsonic,github_organization,,GitHub,,,,,,none
pasky,github_user,"Prague, Czech Republic",GitHub,"Prague, Czech Republic",Prague,Czech Republic,50.0755,14.4378,high
VisActor,github_organization,,GitHub,,,,,,none
web-arena-x,github_organization,,GitHub,,,,,,none
expectedparrot,github_organization,United States of America,GitHub,United States of America,,,,,low
getsavvyinc,github_organization,United States of America,GitHub,United States of America,,,,,low
HKUNLP,github_organization,Hong Kong,GitHub,Hong Kong,Hong Kong,China,22.3193,114.1694,high
OcularEngineering,github_organization,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
MindWorkAI,github_organization,Germany,GitHub,Germany,,,,,low
turing-machines,github_organization,"CA, Cupertino",GitHub,"CA, Cupertino",Cupertino,United States,37.323,-122.0322,high
trancethehuman,github_user,Ottawa,GitHub,Ottawa,Ottawa,Canada,45.4215,-75.6972,high
egoist,github_user,China,GitHub,China,,,,,low
deepcs233,github_user,,GitHub,,,,,,none
rllm-team,github_organization,,GitHub,,,,,,none
paulrobello,github_user,Woodland CA,GitHub,Woodland CA,Woodland,United States,38.6786109,-121.7733285,medium
Ikaros-521,github_user,China,GitHub,China,,,,,low
preternatural-explore,github_organization,United States of America,GitHub,United States of America,,,,,low
curvedinf,github_user,,GitHub,,,,,,none
cmavro,github_user,,GitHub,,,,,,none
MuLabPKU,github_organization,,GitHub,,,,,,none
virattt,github_user,"New York, NY",GitHub,"New York, NY",New York,United States,40.7128,-74.006,high
camel-ai,github_organization,,GitHub,,,,,,none
cjyyx,github_user,HangZhou,GitHub,HangZhou,Hangzhou,China,30.2741,120.1551,high
TuGraph-family,github_organization,,GitHub,,,,,,none
pprp,github_user,GuangZhou,GitHub,GuangZhou,Guangzhou,China,23.1291,113.2644,high
moly-ai,github_organization,,GitHub,,,,,,none
RL4VLM,github_organization,,GitHub,,,,,,none
cuckoo-network,github_organization,,GitHub,,,,,,none
dreadnode,github_organization,,GitHub,,,,,,none
aitomatic,github_organization,"Mountain View, CA",GitHub,"Mountain View, CA",Mountain View,United States,37.3861,-122.0839,high
hkust-nlp,github_organization,Hong Kong,GitHub,Hong Kong,Hong Kong,China,22.3193,114.1694,high
StonyBrookNLP,github_organization,,GitHub,,,,,,none
AI4Bharat,github_organization,India,GitHub,India,,,,,low
IvanCampos,github_user,"Boston, MA",GitHub,"Boston, MA",Boston,United States,42.3601,-71.0589,high
ruizheliUOA,github_user,"Aberdeen, UK",GitHub,"Aberdeen, UK",Aberdeen City,United Kingdom,57.1482429,-2.0928095,medium
jamjamjon,github_user,Shanghai,GitHub,Shanghai,Shanghai,China,31.2304,121.4737,high
HanGuo97,github_user,,GitHub,,,,,,none
swordlidev,github_user,Shang Hai,GitHub,Shang Hai,Shanghai,China,31.2312707,121.4700152,medium
IceBearAI,github_user,,GitHub,,,,,,none
kcolemangt,github_user,,GitHub,,,,,,none
jy-yuan,github_user,USA,GitHub,USA,,,,,low
ZhanYang-nwpu,github_user,China,GitHub,China,,,,,low
IDEA-Research,github_organization,China,GitHub,China,,,,,low
atredispartners,github_organization,,GitHub,,,,,,none
tml-epfl,github_organization,,GitHub,,,,,,none
coree,github_user,"Zurich, Switzerland",GitHub,"Zurich, Switzerland",Zurich,Switzerland,47.3769,8.5417,high
Infini-AI-Lab,github_organization,United States of America,GitHub,United States of America,,,,,low
jeasonstudio,github_user,OnChain,GitHub,OnChain,,,,,low
tincans-ai,github_organization,,GitHub,,,,,,none
zju-vipa,github_organization,Zhejiang University,GitHub,Zhejiang University,海宁市,China,30.521595,120.7195312,medium
edgenai,github_organization,,GitHub,,,,,,none
backnotprop,github_user,"CA, prev DC.",GitHub,"CA, prev DC",,,,,low
andyrdt,github_user,Boston,GitHub,Boston,Boston,United States,42.3601,-71.0589,high
IAAR-Shanghai,github_organization,,GitHub,,,,,,none
dusty-nv,github_user,,GitHub,,,,,,none
RealAlexandreAI,github_user,"Giverny in Normandy, France",GitHub,"Giverny in Normandy, France",,,,,low
dorjeduck,github_user,,GitHub,,,,,,none
adlnlp,github_user,,GitHub,,,,,,none
FeiLiu36,github_user,Hong Kong,GitHub,Hong Kong,Hong Kong,China,22.3193,114.1694,high
LucaOne,github_user,"HangZhou, China",GitHub,"HangZhou, China",Hangzhou,China,30.2741,120.1551,high
AI4WA,github_organization,Australia,GitHub,Australia,,,,,low
MLT-OSS,github_organization,China,GitHub,China,,,,,low
SaFo-Lab,github_organization,,GitHub,,,,,,none
taketwo,github_user,"Vienna, Austria",GitHub,"Vienna, Austria",Vienna,Austria,48.2082,16.3738,high
aidatatools,github_organization,Taiwan,GitHub,Taiwan,,,,,low
vespperhq,github_organization,United States of America,GitHub,United States of America,,,,,low
stylellm,github_user,,GitHub,,,,,,none
v2rockets,github_user,,GitHub,,,,,,none
houchenll,github_user,HangZhou,GitHub,HangZhou,Hangzhou,China,30.2741,120.1551,high
BradMoonUESTC,github_user,,GitHub,,,,,,none
NiuTrans,github_organization,"Shenyang, Liaoning, China",GitHub,"Shenyang, Liaoning, China",Shenyang,China,41.8026095,123.4279105,medium
boheumd,github_user,,GitHub,,,,,,none
nickbild,github_user,"Orlando, FL",GitHub,"Orlando, FL",Orlando,United States,28.5421218,-81.379045,medium
Sally-SH,github_user,,GitHub,,,,,,none
eltociear,github_user,"Tokyo, Japan",GitHub,"Tokyo, Japan",Tokyo,Japan,35.6762,139.6503,high
lzw-lzw,github_user,Shanghai,GitHub,Shanghai,Shanghai,China,31.2304,121.4737,high
palico-ai,github_organization,,GitHub,,,,,,none
sgomez,github_user,"Córdoba, Spain",GitHub,"Córdoba, Spain",Córdoba,Spain,37.8845813,-4.7760138,medium
Hey-Telo,github_organization,,GitHub,,,,,,none
GigaxGames,github_organization,,GitHub,,,,,,none
sanderwood,github_user,,GitHub,,,,,,none
fusion-jena,github_organization,"Jena, Germany",GitHub,"Jena, Germany",Jena,Germany,50.9281717,11.5879359,medium
openpsi-project,github_organization,China,GitHub,China,,,,,low
OpenMeshLab,github_organization,,GitHub,,,,,,none
snap-stanford,github_organization,,GitHub,,,,,,none
MadryLab,github_organization,MIT,GitHub,MIT,Cambridge,United States,42.3582529,-71.0966272,medium
ICTMCG,github_organization,"Beijing, China",GitHub,"Beijing, China",Beijing,China,39.9042,116.4074,high
CrazyBoyM,github_user,ai-lab@foxmail.com,GitHub,ai-lab@foxmail.com,,,,,low
fuzz4all,github_organization,,GitHub,,,,,,none
stevelaskaridis,github_user,"London, UK",GitHub,"London, UK",London,United Kingdom,51.5074,-0.1278,high
JetXu-LLM,github_user,,GitHub,,,,,,none
interestingLSY,github_user,中国，浙江省，杭州市,GitHub,中国，浙江省，杭州市,拱墅区,China,30.3380891,120.1145219,medium
PicoMLX,github_organization,United States of America,GitHub,United States of America,,,,,low
friendmine,github_user,,GitHub,,,,,,none
reid41,github_user,,GitHub,,,,,,none
chaoswork,github_user,,GitHub,,,,,,none
cognesy,github_organization,"Warsaw, Poland",GitHub,"Warsaw, Poland",Warsaw,Poland,52.2297,21.0122,high
HyperGAI,github_organization,,GitHub,,,,,,none
nodetool-ai,github_organization,,GitHub,,,,,,none
Picovoice,github_organization,"Vancouver, Canada",GitHub,"Vancouver, Canada",Vancouver,Canada,49.2827,-123.1207,high
wangyu-ustc,github_user,,GitHub,,,,,,none
liu673,github_user,beijing,GitHub,beijing,Beijing,China,39.9042,116.4074,high
vlm-run,github_organization,United States of America,GitHub,United States of America,,,,,low
AlexBuz,github_user,,GitHub,,,,,,none
Cloud-Code-AI,github_organization,United States of America,GitHub,United States of America,,,,,low
fabriziosalmi,github_user,Italy,GitHub,Italy,,,,,low
zahaby,github_user,,GitHub,,,,,,none
machine-theory,github_organization,,GitHub,,,,,,none
cooperleong00,github_user,,GitHub,,,,,,none
mrdjohnson,github_user,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
MaxZanella,github_user,,GitHub,,,,,,none
ur-whitelab,github_organization,,GitHub,,,,,,none
foundation-model-stack,github_organization,United States of America,GitHub,United States of America,,,,,low
mbodiai,github_organization,United States of America,GitHub,United States of America,,,,,low
ANG13T,github_user,,GitHub,,,,,,none
coze-dev,github_organization,,GitHub,,,,,,none
v3ucn,github_user,China,GitHub,China,,,,,low
emirsahin1,github_user,,GitHub,,,,,,none
nerve-sparks,github_organization,India,GitHub,India,,,,,low
NVISOsecurity,github_organization,Europe,GitHub,Europe,,,,,low
exo-explore,github_organization,,GitHub,,,,,,none
autogluon,github_organization,,GitHub,,,,,,none
da-z,github_user,,GitHub,,,,,,none
jihe520,github_user,"Wuhan,HuBei,China",GitHub,"Wuhan,HuBei,China",Wuhan,China,30.5928,114.3055,high
thuml,github_organization,,GitHub,,,,,,none
MarianoMolina,github_user,,GitHub,,,,,,none
chyok,github_user,Raleigh,GitHub,Raleigh,Raleigh,United States,35.7796,-78.6382,high
upstash,github_organization,California,GitHub,California,California,United States,36.7014631,-118.755997,medium
JinjieNi,github_user,,GitHub,,,,,,none
mitmedialab,github_organization,"Cambridge, MA",GitHub,"Cambridge, MA",Cambridge,United Kingdom,52.2053,0.1218,high
sleeepeer,github_user,"State College, United States",GitHub,"State College, United States",State College,United States,40.7944504,-77.8616386,medium
ultrasev,github_user,,GitHub,,,,,,none
SuYxh,github_user,北京,GitHub,北京,Beijing,China,39.9057136,116.3912972,medium
Cardinal-Operations,github_organization,,GitHub,,,,,,none
Mxoder,github_user,"Beijing, China",GitHub,"Beijing, China",Beijing,China,39.9042,116.4074,high
EleutherAI,github_organization,The Internet,GitHub,The Internet,Strabane,United Kingdom,54.8270604,-7.4634535,medium
tomasonjo,github_user,,GitHub,,,,,,none
PKU-PCNI,github_user,,GitHub,,,,,,none
PrincetonUniversity,github_organization,,GitHub,,,,,,none
ltzheng,github_user,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
deep-symbolic-mathematics,github_organization,,GitHub,,,,,,none
AXYZdong,github_user,"Nanjing, China",GitHub,"Nanjing, China",Nanjing,China,32.0603,118.7969,high
datacrystals,github_user,"Santa Rosa, CA",GitHub,"Santa Rosa, CA",Santa Rosa,United States,38.4404925,-122.7141049,medium
little51,github_user,,GitHub,,,,,,none
kaifcoder,github_user,Bengaluru,GitHub,Bengaluru,Bengaluru,India,12.9716,77.5946,high
svpino,github_user,Florida,GitHub,Florida,Florida,United States,27.7567667,-81.4639835,medium
Pavankunchala,github_user,"SF, CA",GitHub,"SF, CA",San Francisco,United States,37.7749,-122.4194,high
llm-merging,github_organization,,GitHub,,,,,,none
mitdbg,github_organization,"Cambridge, MA 02139",GitHub,"Cambridge, MA 02139",Cambridge,United Kingdom,52.2053,0.1218,high
alexeygrigorev,github_user,"Berlin, Germany",GitHub,"Berlin, Germany",Berlin,Germany,52.52,13.405,high
rbiswasfc,github_user,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
cmu-l3,github_user,,GitHub,,,,,,none
Renumics,github_organization,Karlsruhe,GitHub,Karlsruhe,Karlsruhe,Germany,49.0068705,8.4034195,medium
onlybooks,github_user,Korea,GitHub,Korea,,,,,low
tanfiona,github_user,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
teddylee777,github_user,Pangyo,GitHub,Pangyo,성남시,South Korea,37.3947237,127.1115312,medium
LibertFan,github_user,,GitHub,,,,,,none
dotimplement,github_organization,United Kingdom,GitHub,United Kingdom,,,,,low
JustAJobApp,github_organization,United States of America,GitHub,United States of America,,,,,low
shaunthecomputerscientist,github_user,"Snowy Village, Minecraft",GitHub,"Snowy Village, Minecraft",,,,,low
Hungreeee,github_user,"Espoo, Finland",GitHub,"Espoo, Finland",Espoo,Finland,60.2049651,24.6559808,medium
mdipietro09,github_user,,GitHub,,,,,,none
Scthe,github_user,"Wroclaw, Poland",GitHub,"Wroclaw, Poland",województwo dolnośląskie,Poland,51.1263106,16.9781963,medium
krishnaik06,github_user,Bangalore,GitHub,Bangalore,Bengaluru,India,12.9716,77.5946,high
drawcall,github_user,Freistaat Thüringen,GitHub,Freistaat Thüringen,Thüringen,Germany,50.9014721,11.0377839,medium
ghdtjr,github_user,,GitHub,,,,,,none
hunkim,github_user,Hong Kong,GitHub,Hong Kong,Hong Kong,China,22.3193,114.1694,high
pragunbhutani,github_user,,GitHub,,,,,,none
springer-llms-deep-dive,github_user,,GitHub,,,,,,none
arphanetx,github_user,,GitHub,,,,,,none
ccallazans,github_user,"Salvador, Bahia",GitHub,"Salvador, Bahia",Bahia,Brazil,-12.9822499,-38.4812772,medium
centerforaisafety,github_organization,,GitHub,,,,,,none
alfredodeza,github_user,,GitHub,,,,,,none
akiani,github_user,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
Xtra-Computing,github_organization,National University of Singapore,GitHub,National University of Singapore,Singapore,Singapore,1.3521,103.8198,medium
gustavoeenriquez,github_user,Colombia,GitHub,Colombia,,,,,low
lbcb-sci,github_organization,Singapore,GitHub,Singapore,Singapore,Singapore,1.3521,103.8198,high
withmartian,github_organization,,GitHub,,,,,,none
samholt,github_user,"London, UK",GitHub,"London, UK",London,United Kingdom,51.5074,-0.1278,high
daxa-ai,github_organization,,GitHub,,,,,,none
lalanikarim,github_user,"Leander, TX",GitHub,"Leander, TX",Leander,United States,30.5736134,-97.8567339,medium
Rachnog,github_user,"Madrid, Spain",GitHub,"Madrid, Spain",Madrid,Spain,40.4168,-3.7038,high
tonykipkemboi,github_user,United States,GitHub,United States,,,,,low
Chando0185,github_user,India,GitHub,India,,,,,low
NYU-LLM-CTF,github_organization,,GitHub,,,,,,none
browser-use,github_organization,United States of America,GitHub,United States of America,,,,,low
TauricResearch,github_organization,United States of America,GitHub,United States of America,,,,,low
jingyaogong,github_user,China,GitHub,China,,,,,low
aaif-goose,github_organization,,GitHub,,,,,,none
patchy631,github_user,,GitHub,,,,,,none
voideditor,github_organization,United States of America,GitHub,United States of America,,,,,low
yamadashy,github_user,Tokyo/Japan,GitHub,Tokyo/Japan,Tokyo,Japan,35.6762,139.6503,medium
mastra-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
verl-project,github_organization,,GitHub,,,,,,none
kortix-ai,github_organization,,GitHub,,,,,,none
cheahjs,github_user,United Kingdom,GitHub,United Kingdom,,,,,low
raga-ai-hub,github_organization,,GitHub,,,,,,none
WEIFENG2333,github_user,South,GitHub,South,Département du Sud,Ayiti,18.2612839,-73.8444985,medium
nanobrowser,github_organization,,GitHub,,,,,,none
codexu,github_user,Beijing,GitHub,Beijing,Beijing,China,39.9042,116.4074,high
tensorzero,github_organization,United States of America,GitHub,United States of America,,,,,low
Zackriya-Solutions,github_organization,,GitHub,,,,,,none
cloudwego,github_organization,,GitHub,,,,,,none
The-Pocket,github_organization,,GitHub,,,,,,none
humanlayer,github_organization,,GitHub,,,,,,none
krillinai,github_user,"Wuhan, China",GitHub,"Wuhan, China",Wuhan,China,30.5928,114.3055,high
linyqh,github_user,,GitHub,,,,,,none
OpenSPG,github_organization,,GitHub,,,,,,none
mark3labs,github_organization,"Las Vegas, NV",GitHub,"Las Vegas, NV",Las Vegas,United States,36.1674263,-115.1484131,medium
FunAudioLLM,github_organization,,GitHub,,,,,,none
NexaAI,github_organization,United States of America,GitHub,United States of America,,,,,low
hijkzzz,github_user,,GitHub,,,,,,none
steel-dev,github_organization,United States of America,GitHub,United States of America,,,,,low
tailcallhq,github_organization,United States of America,GitHub,United States of America,,,,,low
linkedin,github_organization,"Sunnyvale, CA, USA",GitHub,"Sunnyvale, CA, USA",Sunnyvale,United States,37.3688,-122.0363,high
katanemo,github_organization,United States of America,GitHub,United States of America,,,,,low
airweave-ai,github_organization,,GitHub,,,,,,none
MadcowD,github_user,,GitHub,,,,,,none
PySpur-Dev,github_organization,,GitHub,,,,,,none
ed-donner,github_user,New York,GitHub,New York,New York,United States,40.7128,-74.006,high
kodu-ai,github_organization,,GitHub,,,,,,none
aipotheosis-labs,github_organization,,GitHub,,,,,,none
gradio-app,github_organization,"Mountain View, CA",GitHub,"Mountain View, CA",Mountain View,United States,37.3861,-122.0839,high
Integuru-AI,github_organization,United States of America,GitHub,United States of America,,,,,low
ag2ai,github_organization,,GitHub,,,,,,none
StructuredLabs,github_organization,United States of America,GitHub,United States of America,,,,,low
bragai,github_organization,,GitHub,,,,,,none
Hoper-J,github_user,,GitHub,,,,,,none
gusye1234,github_user,,GitHub,,,,,,none
ucbepic,github_organization,United States of America,GitHub,United States of America,,,,,low
skindhu,github_user,,GitHub,,,,,,none
gpt-omni,github_organization,,GitHub,,,,,,none
algorithmicsuperintelligence,github_organization,,GitHub,,,,,,none
thesysdev,github_organization,United States of America,GitHub,United States of America,,,,,low
thu-ml,github_organization,"FIT Building, Tsinghua University, Beijing, China",GitHub,"FIT Building, Tsinghua University, Beijing, China",Beijing,China,39.9042,116.4074,high
wyf3,github_user,,GitHub,,,,,,none
browserbase,github_organization,United States of America,GitHub,United States of America,,,,,low
i-am-bee,github_organization,,GitHub,,,,,,none
johnbean393,github_user,,GitHub,,,,,,none
QiuYannnn,github_user,Los Angeles,GitHub,Los Angeles,Los Angeles,United States,34.0522,-118.2437,high
Kyle-Ye,github_user,,GitHub,,,,,,none
OpenDCAI,github_organization,,GitHub,,,,,,none
CatchTheTornado,github_organization,,GitHub,,,,,,none
TheBlewish,github_user,"QLD, Australia",GitHub,"QLD, Australia",Queensland,Australia,-22.1646782,144.5844903,medium
itsOwen,github_user,United Kingdom,GitHub,United Kingdom,,,,,low
lumina-ai-inc,github_organization,,GitHub,,,,,,none
supabase-community,github_organization,,GitHub,,,,,,none
basicmachines-co,github_organization,,GitHub,,,,,,none
av,github_user,Warszawa,GitHub,Warszawa,Warszawa,Poland,52.2319581,21.0067249,medium
om-ai-lab,github_organization,,GitHub,,,,,,none
blazickjp,github_user,"Pittsburgh, PA",GitHub,"Pittsburgh, PA",Pittsburgh,United States,40.4406,-79.9959,high
athina-ai,github_organization,,GitHub,,,,,,none
bbruceyuan,github_user,Shenzhen,GitHub,Shenzhen,Shenzhen,China,22.5431,114.0579,high
lmnr-ai,github_organization,,GitHub,,,,,,none
severian42,github_user,,GitHub,,,,,,none
hesamsheikh,github_user,,GitHub,,,,,,none
icereed,github_user,"Munich, Germany",GitHub,"Munich, Germany",Munich,Germany,48.1351,11.582,high
mainframecomputer,github_organization,,GitHub,,,,,,none
theJayTea,github_user,Massachusetts,GitHub,Massachusetts,Massachusetts,United States,42.3788774,-72.032366,medium
OpenCoder-llm,github_user,,GitHub,,,,,,none
jnsahaj,github_user,,GitHub,,,,,,none
apconw,github_user,,GitHub,,,,,,none
aws,github_organization,United States of America,GitHub,United States of America,,,,,low
nottelabs,github_organization,United States of America,GitHub,United States of America,,,,,low
zhimaAi,github_organization,,GitHub,,,,,,none
PRIME-RL,github_organization,,GitHub,,,,,,none
shcherbak-ai,github_organization,Norway,GitHub,Norway,,,,,low
watercrawl,github_organization,,GitHub,,,,,,none
NitroRCr,github_user,"Chongqing, China",GitHub,"Chongqing, China",Chongqing,China,30.05518,107.8748712,medium
abinthomasonline,github_user,,GitHub,,,,,,none
travisvn,github_user,Seattle,GitHub,Seattle,Seattle,United States,47.6062,-122.3321,high
Jason2Brownlee,github_user,Australia,GitHub,Australia,,,,,low
llmgenai,github_user,India,GitHub,India,,,,,low
Andrew-Jang,github_user,"Seoul, South Korea",GitHub,"Seoul, South Korea",Seoul,South Korea,37.5665,126.978,high
von-development,github_user,"Wrocław, Poland",GitHub,"Wrocław, Poland",Wroclaw,Poland,51.1089776,17.0326689,medium
starpig1129,github_user,Taipei,GitHub,Taipei,Taipei,Taiwan,25.033,121.5654,high
wwbin2017,github_user,,GitHub,,,,,,none
bespokelabsai,github_organization,United States of America,GitHub,United States of America,,,,,low
swark-io,github_organization,,GitHub,,,,,,none
APIParkLab,github_organization,,GitHub,,,,,,none
XiaomingX,github_user,Japan,GitHub,Japan,,,,,low
FrigadeHQ,github_organization,United States of America,GitHub,United States of America,,,,,low
sunmh207,github_user,,GitHub,,,,,,none
lotus-data,github_organization,,GitHub,,,,,,none
wasiahmad,github_user,"Santa Clara, CA, USA",GitHub,"Santa Clara, CA, USA",Santa Clara,United States,37.3541132,-121.955174,medium
business-science,github_organization,United States of America,GitHub,United States of America,,,,,low
benborla,github_user,Philippines,GitHub,Philippines,,,,,low
amzxyz,github_user,,GitHub,,,,,,none
envoyproxy,github_organization,,GitHub,,,,,,none
hhhuang,github_user,"Taipei City, Taiwan",GitHub,"Taipei City, Taiwan",Taipei,Taiwan,25.033,121.5654,medium
nasa-jpl,github_organization,"Pasadena, California, US",GitHub,"Pasadena, California, US",Pasadena,United States,34.1476507,-118.144155,medium
stripe,github_organization,"San Francisco, CA",GitHub,"San Francisco, CA",San Francisco,United States,37.7749,-122.4194,high
allenzren,github_user,,GitHub,,,,,,none
mattpocock,github_user,Oxfordshire,GitHub,Oxfordshire,Oxford,United Kingdom,51.752,-1.2577,medium
GitHamza0206,github_user,Paris,GitHub,Paris,Paris,France,48.8566,2.3522,high
import-ai,github_organization,,GitHub,,,,,,none
byjlw,github_user,,GitHub,,,,,,none
BlackSnufkin,github_user,,GitHub,,,,,,none
qdrant,github_organization,Germany,GitHub,Germany,,,,,low
cyberark,github_organization,"Newton, MA and Petach Tikva, Israel",GitHub,"Newton, MA and Petach Tikva, Israel",,,,,low
NPC-Worldwide,github_organization,,GitHub,,,,,,none
wisupai,github_organization,United Kingdom,GitHub,United Kingdom,,,,,low
jishengpeng,github_user,,GitHub,,,,,,none
masamasa59,github_user,Japan,GitHub,Japan,,,,,low
raznem,github_user,Warsaw,GitHub,Warsaw,Warsaw,Poland,52.2297,21.0122,high
Storia-AI,github_organization,United States of America,GitHub,United States of America,,,,,low
callstackincubator,github_organization,Worldwide,GitHub,Worldwide,Sydney,Australia,-33.8938107,151.2621478,medium
SakanaAI,github_organization,Tokyo,GitHub,Tokyo,Tokyo,Japan,35.6762,139.6503,high
yym68686,github_user,Hangzhou China,GitHub,Hangzhou China,Hangzhou,China,30.2741,120.1551,medium
MIATECHPARTNERS,github_organization,,GitHub,,,,,,none
morettt,github_user,,GitHub,,,,,,none
ABexit,github_user,BeiJing,GitHub,BeiJing,Beijing,China,39.9042,116.4074,high
SkalskiP,github_user,127.0.0.1,GitHub,127.0.0.1,,,,,none
nv-tlabs,github_organization,,GitHub,,,,,,none
character-ai,github_organization,,GitHub,,,,,,none
fpgaminer,github_user,,GitHub,,,,,,none
giuseppe99barchetta,github_user,,GitHub,,,,,,none
TheAiSingularity,github_user,,GitHub,,,,,,none
stair-lab,github_organization,United States of America,GitHub,United States of America,,,,,low
milanglacier,github_user,,GitHub,,,,,,none
Onelevenvy,github_user,,GitHub,,,,,,none
dynamiq-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
samuel-vitorino,github_user,Portugal,GitHub,Portugal,,,,,low
JudgmentLabs,github_organization,,GitHub,,,,,,none
patruff,github_user,New York,GitHub,New York,New York,United States,40.7128,-74.006,high
romansky,github_user,Israel,GitHub,Israel,,,,,low
Hexastack,github_organization,,GitHub,,,,,,none
Felix3322,github_user,%LocalAppData%\Programs\Python\Python313\python.exe,GitHub,%LocalAppData%\Programs\Python\Python313\python.exe,,,,,low
getcellm,github_organization,,GitHub,,,,,,none
ScalingIntelligence,github_organization,United States of America,GitHub,United States of America,,,,,low
QuantGeekDev,github_user,Barcelona,GitHub,Barcelona,Barcelona,Spain,41.3874,2.1686,high
FireRedTeam,github_organization,China,GitHub,China,,,,,low
zhihu,github_organization,"Beijing, China",GitHub,"Beijing, China",Beijing,China,39.9042,116.4074,high
jianzongwu,github_user,"Beijing, China",GitHub,"Beijing, China",Beijing,China,39.9042,116.4074,high
varungodbole,github_user,New York,GitHub,New York,New York,United States,40.7128,-74.006,high
callmesora,github_user,,GitHub,,,,,,none
yigitkonur,github_user,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
RayFernando1337,github_user,"Los Altos, CA",GitHub,"Los Altos, CA",Los Altos,United States,37.3790629,-122.116578,medium
harleyszhang,github_user,shanghai,GitHub,shanghai,Shanghai,China,31.2304,121.4737,high
zamalali,github_user,Nuremberg,GitHub,Nuremberg,Nuremberg,Germany,49.453872,11.077298,medium
theredsix,github_user,San Francisco,GitHub,San Francisco,San Francisco,United States,37.7749,-122.4194,high
reflex-dev,github_organization,United States of America,GitHub,United States of America,,,,,low
inngest,github_organization,United States of America,GitHub,United States of America,,,,,low
flexpilot-ai,github_organization,,GitHub,,,,,,none
dvgodoy,github_user,Portugal,GitHub,Portugal,,,,,low
investbrainapp,github_organization,United States of America,GitHub,United States of America,,,,,low
zubair-irshad,github_user,"Silicon Valley, CA, USA",GitHub,"Silicon Valley, CA, USA",San Francisco,United States,37.7749,-122.4194,high
stacklok,github_organization,United States of America,GitHub,United States of America,,,,,low
